,Emoji,Unicode,Hex
631,🧑🏼‍🍳,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f373',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8d\xb3'
632,🧑🏽‍🍳,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f373',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8d\xb3'
633,🧑🏾‍🍳,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f373',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8d\xb3'
634,🧑🏿‍🍳,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f373',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8d\xb3'
635,👨🏻‍🍳,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f373',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8d\xb3'
636,👨🏼‍🍳,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f373',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8d\xb3'
637,👨🏽‍🍳,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f373',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8d\xb3'
638,👨🏾‍🍳,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f373',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8d\xb3'
639,👨🏿‍🍳,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f373',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8d\xb3'
640,👩🏻‍🍳,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f373',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8d\xb3'
641,👩🏼‍🍳,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f373',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8d\xb3'
642,👩🏽‍🍳,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f373',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8d\xb3'
643,👩🏾‍🍳,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f373',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8d\xb3'
644,👩🏿‍🍳,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f373',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8d\xb3'
645,🧑🏻‍🔧,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f527',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x94\xa7'
646,🧑🏼‍🔧,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f527',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xa7'
647,🧑🏽‍🔧,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f527',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xa7'
648,🧑🏾‍🔧,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f527',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xa7'
649,🧑🏿‍🔧,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f527',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x94\xa7'
650,👨🏻‍🔧,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f527',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x94\xa7'
651,👨🏼‍🔧,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f527',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xa7'
652,👨🏽‍🔧,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f527',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xa7'
653,👨🏾‍🔧,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f527',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xa7'
654,👨🏿‍🔧,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f527',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x94\xa7'
655,👩🏻‍🔧,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f527',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x94\xa7'
656,👩🏼‍🔧,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f527',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xa7'
657,👩🏽‍🔧,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f527',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xa7'
658,👩🏾‍🔧,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f527',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xa7'
659,👩🏿‍🔧,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f527',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x94\xa7'
660,🧑🏻‍🏭,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f3ed',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xad'
661,🧑🏼‍🏭,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f3ed',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8f\xad'
662,🧑🏽‍🏭,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f3ed',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8f\xad'
663,🧑🏾‍🏭,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f3ed',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8f\xad'
664,🧑🏿‍🏭,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f3ed',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8f\xad'
665,👨🏻‍🏭,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xad'
666,👨🏼‍🏭,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8f\xad'
667,👨🏽‍🏭,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8f\xad'
668,👨🏾‍🏭,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8f\xad'
669,👨🏿‍🏭,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8f\xad'
670,👩🏻‍🏭,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xad'
671,👩🏼‍🏭,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8f\xad'
672,👩🏽‍🏭,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8f\xad'
673,👩🏾‍🏭,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8f\xad'
674,👩🏿‍🏭,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f3ed',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8f\xad'
675,🧑🏻‍💼,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f4bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbc'
676,🧑🏼‍💼,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f4bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x92\xbc'
677,🧑🏽‍💼,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f4bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbc'
678,🧑🏾‍💼,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f4bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x92\xbc'
679,🧑🏿‍💼,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f4bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x92\xbc'
680,👨🏻‍💼,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbc'
681,👨🏼‍💼,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x92\xbc'
682,👨🏽‍💼,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbc'
683,👨🏾‍💼,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x92\xbc'
684,👨🏿‍💼,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x92\xbc'
685,👩🏻‍💼,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbc'
686,👩🏼‍💼,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x92\xbc'
687,👩🏽‍💼,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbc'
688,👩🏾‍💼,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x92\xbc'
689,👩🏿‍💼,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f4bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x92\xbc'
690,🧑🏻‍🔬,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f52c',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x94\xac'
691,🧑🏼‍🔬,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f52c',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xac'
692,🧑🏽‍🔬,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f52c',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xac'
693,🧑🏾‍🔬,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f52c',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xac'
694,🧑🏿‍🔬,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f52c',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x94\xac'
695,👨🏻‍🔬,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x94\xac'
696,👨🏼‍🔬,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xac'
697,👨🏽‍🔬,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xac'
698,👨🏾‍🔬,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xac'
699,👨🏿‍🔬,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x94\xac'
700,👩🏻‍🔬,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x94\xac'
701,👩🏼‍🔬,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x94\xac'
702,👩🏽‍🔬,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x94\xac'
703,👩🏾‍🔬,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xac'
704,👩🏿‍🔬,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f52c',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x94\xac'
705,🧑🏻‍💻,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f4bb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb'
706,🧑🏼‍💻,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f4bb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x92\xbb'
707,🧑🏽‍💻,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f4bb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbb'
708,🧑🏾‍💻,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f4bb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x92\xbb'
709,🧑🏿‍💻,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f4bb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x92\xbb'
710,👨🏻‍💻,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb'
711,👨🏼‍💻,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x92\xbb'
712,👨🏽‍💻,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbb'
713,👨🏾‍💻,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x92\xbb'
714,👨🏿‍💻,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x92\xbb'
715,👩🏻‍💻,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x92\xbb'
716,👩🏼‍💻,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x92\xbb'
717,👩🏽‍💻,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x92\xbb'
718,👩🏾‍💻,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x92\xbb'
719,👩🏿‍💻,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f4bb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x92\xbb'
720,🧑🏻‍🎤,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f3a4',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\xa4'
721,🧑🏼‍🎤,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f3a4',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\xa4'
722,🧑🏽‍🎤,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f3a4',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\xa4'
723,🧑🏾‍🎤,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f3a4',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\xa4'
724,🧑🏿‍🎤,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f3a4',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\xa4'
725,👨🏻‍🎤,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\xa4'
726,👨🏼‍🎤,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\xa4'
727,👨🏽‍🎤,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\xa4'
728,👨🏾‍🎤,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\xa4'
729,👨🏿‍🎤,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\xa4'
730,👩🏻‍🎤,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\xa4'
731,👩🏼‍🎤,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\xa4'
732,👩🏽‍🎤,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\xa4'
733,👩🏾‍🎤,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\xa4'
734,👩🏿‍🎤,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f3a4',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\xa4'
735,🧑🏻‍🎨,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f3a8',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\xa8'
736,🧑🏼‍🎨,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f3a8',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\xa8'
737,🧑🏽‍🎨,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f3a8',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\xa8'
738,🧑🏾‍🎨,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f3a8',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\xa8'
739,🧑🏿‍🎨,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f3a8',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\xa8'
740,👨🏻‍🎨,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\xa8'
741,👨🏼‍🎨,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\xa8'
742,👨🏽‍🎨,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\xa8'
743,👨🏾‍🎨,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\xa8'
744,👨🏿‍🎨,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\xa8'
745,👩🏻‍🎨,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\xa8'
746,👩🏼‍🎨,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\xa8'
747,👩🏽‍🎨,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\xa8'
748,👩🏾‍🎨,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\xa8'
749,👩🏿‍🎨,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f3a8',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\xa8'
750,🧑🏻‍✈️,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2708\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
751,🧑🏼‍✈️,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2708\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
752,🧑🏽‍✈️,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2708\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
753,🧑🏾‍✈️,b'\\U0001f9d1\\U0001f3fe\\u200d\\u2708\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
754,🧑🏿‍✈️,b'\\U0001f9d1\\U0001f3ff\\u200d\\u2708\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
755,👨🏻‍✈️,b'\\U0001f468\\U0001f3fb\\u200d\\u2708\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
756,👨🏼‍✈️,b'\\U0001f468\\U0001f3fc\\u200d\\u2708\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
757,👨🏽‍✈️,b'\\U0001f468\\U0001f3fd\\u200d\\u2708\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
758,👨🏾‍✈️,b'\\U0001f468\\U0001f3fe\\u200d\\u2708\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
759,👨🏿‍✈️,b'\\U0001f468\\U0001f3ff\\u200d\\u2708\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f'
